,postcode, total_installations_quantity
1208,3781,68.0
1209,3782,143.0
1210,3783,101.0
1211,3786,15.0
1212,3787,8.0
1213,3788,18.0
1214,3789,3.0
1215,3791,14.0
1216,3792,24.0
1217,3793,50.0
1218,3795,25.0
1219,3796,106.0
1220,3797,114.0
1221,3799,105.0
1222,3802,233.0
1223,3803,172.0
1224,3804,224.0
1225,3805,1201.0
1226,3806,2467.0
1227,3807,270.0
1228,3808,128.0
1229,3809,2803.0
1230,3810,6468.0
1231,3812,76.0
1232,3813,39.0
1233,3814,133.0
1234,3815,179.0
1235,3816,152.0
1236,3818,1424.0
1237,3820,1340.0
1238,3821,225.0
1239,3822,75.0
1240,3823,174.0
1241,3824,338.0
1242,3825,618.0
1243,3831,160.0
1244,3832,12.0
1245,3833,9.0
1246,3835,25.0
1247,3840,423.0
1248,3842,164.0
1249,3844,1407.0
1250,3847,123.0
1251,3850,453.0
1252,3851,264.0
1253,3852,11.0
1254,3854,104.0
1255,3856,78.0
1256,3857,21.0
1257,3858,183.0
1258,3859,35.0
1259,3860,330.0
1260,3862,258.0
1261,3864,11.0
1262,3865,42.0
1263,3869,117.0
1264,3870,74.0
1265,3871,213.0
1266,3873,18.0
1267,3874,38.0
1268,3875,1633.0
1269,3878,137.0
1270,3880,414.0
1271,3882,116.0
1272,3885,160.0
1273,3886,21.0
1274,3887,16.0
1275,3888,192.0
1276,3889,11.0
1277,3890,15.0
1278,3891,9.0
1279,3892,151.0
1280,3895,3.0
1281,3896,17.0
1282,3898,15.0
1283,3900,7.0
1284,3902,39.0
1285,3903,80.0
1286,3904,161.0
1287,3909,684.0
1288,3910,661.0
1289,3911,58.0
1290,3912,395.0
1291,3913,124.0
1292,3915,358.0
1293,3916,94.0
1294,3918,185.0
1295,3919,102.0
1296,3921,9.0
1297,3922,614.0
1298,3923,38.0
1299,3925,182.0
1300,3926,198.0
1301,3927,141.0
1302,3928,22.0
1303,3929,89.0
1304,3930,367.0
1305,3931,885.0
1306,3933,43.0
1307,3934,724.0
1308,3936,1010.0
1309,3937,84.0
1310,3938,115.0
1311,3939,814.0
1312,3940,297.0
1313,3941,446.0
1314,3942,118.0
1315,3943,95.0
1316,3944,44.0
1317,3945,66.0
1318,3946,16.0
1319,3950,323.0
1320,3951,65.0
1321,3953,530.0
1322,3954,37.0
1323,3956,211.0
1324,3957,10.0
1325,3958,11.0
1326,3959,111.0
1327,3960,210.0
1328,3962,44.0
1329,3964,12.0
1330,3965,14.0
1331,3966,30.0
1332,3967,3.0
1333,3971,221.0
1334,3975,1857.0
1335,3976,352.0
1336,3977,10891.0
1337,3978,5737.0
1338,3979,11.0
1339,3980,147.0
1340,3981,395.0
1341,3984,349.0
1342,3987,76.0
1343,3988,57.0
1344,3990,11.0
1345,3991,18.0
1346,3992,62.0
1347,3995,580.0
1348,3996,655.0
1349,4000,48.0
1350,4005,89.0
1351,4006,82.0
1352,4007,89.0
1353,4008,27.0
1354,4009,4.0
1355,4010,22.0
1356,4011,206.0
1357,4012,388.0
1358,4013,108.0
1359,4014,788.0
1360,4017,1405.0
1361,4018,483.0
1362,4019,753.0
1363,4020,993.0
1364,4021,560.0
1365,4022,415.0
1366,4025,16.0
1367,4029,1.0
1368,4030,205.0
1369,4031,227.0
1370,4032,317.0
1371,4034,1450.0
1372,4035,1085.0
1373,4036,467.0
1374,4037,330.0
1375,4051,509.0
1376,4053,1368.0
1377,4054,509.0
1378,4055,1035.0
1379,4059,128.0
1380,4060,277.0
1381,4061,821.0
1382,4064,130.0
1383,4065,219.0
1384,4066,204.0
1385,4067,131.0
1386,4068,516.0
1387,4069,1780.0
1388,4070,758.0
1389,4073,410.0
1390,4074,1237.0
1391,4075,789.0
1392,4076,163.0
1393,4077,848.0
1394,4078,1170.0
1395,4101,192.0
1396,4102,112.0
1397,4103,270.0
1398,4104,178.0
1399,4105,372.0
